5.335798333179067043e+00,4.171092395361171157e+00,2.102778824494020782e+01,2.629783661826590091e+01,2.632423541122805233e+01,2.816546147083310458e+01,2.569204227686255138e+01,2.355516841526084448e+01,2.396810492236352275e+01,1.548043010781447926e+01
5.034866625276597674e+00,3.036823657585825842e+00,2.020644946608411630e+01,2.594354765494102466e+01,2.634929698792218744e+01,2.848539252201930694e+01,2.578477020489830807e+01,2.573732285826539723e+01,2.525556354489379984e+01,1.609573947788737058e+01
4.819831740120645414e+00,2.950934208655596969e+00,2.015483979968484007e+01,2.665931200238190257e+01,2.748535709264305993e+01,2.916633367333214011e+01,2.594203859706612647e+01,2.646189075921597222e+01,2.435635788167404669e+01,1.575712282445729961e+01
4.871868535145761570e+00,4.463437320509418882e+00,2.050341962959195996e+01,2.803736904802275021e+01,2.880331933661950927e+01,2.932774609984166858e+01,2.648839162782088152e+01,2.525642692317201110e+01,2.311262508198614185e+01,1.504469016094507339e+01
5.582023780701906190e+00,8.062957256862603117e+00,2.166650728958206074e+01,3.019990531564277703e+01,2.962205630798342781e+01,2.907360158712440779e+01,2.721139420129805231e+01,2.452574132258093442e+01,2.130606675656464688e+01,1.405567866445188407e+01
7.069371957921007699e+00,1.304981163804644240e+01,2.364807369982690588e+01,3.137343572123444702e+01,2.960609751645526089e+01,2.892950361148957228e+01,2.763937676843667646e+01,2.330479961835382952e+01,1.976690219345450927e+01,1.302580292700066344e+01
9.229586359745782786e+00,1.733541248370370980e+01,2.597902499853774927e+01,3.177279608772040831e+01,2.916202294942353390e+01,2.877969216804738295e+01,2.726213940040443262e+01,2.274386967202763543e+01,1.839465298948665151e+01,1.253070491346141857e+01
1.027235270249350663e+01,1.815853369618629998e+01,2.744988350819102862e+01,3.185956665830471124e+01,2.891245935998679784e+01,2.840441434269003551e+01,2.706854530299346351e+01,2.241219316613548074e+01,1.776908950421143984e+01,1.183372143997057613e+01
9.479323760624192019e+00,1.595790899518567230e+01,2.680996183876460393e+01,3.236141821166970090e+01,2.906501258670177990e+01,2.845702250361329533e+01,2.710898232280485587e+01,2.153717482440359277e+01,1.812567169597246775e+01,1.179623942521989655e+01
8.008883253936696534e+00,1.179687371405176144e+01,2.545774421280337307e+01,3.148343151691044639e+01,2.870046652910696849e+01,2.820958522425347326e+01,2.696057403131571562e+01,2.186202962276813366e+01,1.844180544501273999e+01,1.221185237934808754e+01
6.944636208352829243e+00,8.596453029086360331e+00,2.358065733504341921e+01,2.918679400755474518e+01,2.779283042026331074e+01,2.821791281955442443e+01,2.660926274923280133e+01,2.213553965547156110e+01,1.977355497968615339e+01,1.306621990487910701e+01
6.102929443129419873e+00,6.571362873172475361e+00,2.191177522591631188e+01,2.724593276442069367e+01,2.673082327103359646e+01,2.824013745755387106e+01,2.642114405489421713e+01,2.323110520527377076e+01,2.154247972415002010e+01,1.438660627051406316e+01
5.545876489524952824e+00,4.975782325332623657e+00,2.084412252022727330e+01,2.629757502421186288e+01,2.606568148762276849e+01,2.836316770055691805e+01,2.631662870220276318e+01,2.417729938932720657e+01,2.334253468407652576e+01,1.548910635434893379e+01
